"Title","Authors","Abstract","Published Year","Published Month","Journal","DOI","Covidence #","no_patients_manual","no_AKI_manual","ICU_manual","age_mean_manual","no_patients_llm","no_AKI_llm","ICU_llm","age_mean_llm"
"Development of a Risk Score for AKI onset in COVID-19 Patients: COV-AKI Score","Palomba, H.; Cubos, D.; Bozza, F.; Zampieri, F.G.; Romano, T.G.","Purpose: Acute Kidney Injury (AKI) in COVID-19 patients is associated with increased morbidity and mortality. In the present study, we aimed to develop a prognostic score to predict AKI development in these patients. Materials and methods: This was a retrospective observational study of 2334 COVID 19 patients admitted to 23 different hospitals in Brazil, between January 10th and August 30rd, 2020. The primary outcome of AKI was defined as any increase in serum creatinine (SCr) by 0.3 mg/dL within 48 h or a change in SCr by ≥ 1.5 times of baseline within 1 week, based on Kidney Disease Improving Global Outcomes (KDIGO) guidelines. All patients aged ≥ 18 y/o admitted with confirmed SARS-COV-2 infection were included. Discrimination of variables was calculated by the Receiver Operator Characteristic Curve (ROC curve) utilizing area under curve. Some continuous variables were categorized through ROC curve. The cutoff points were calculated using the value with the best sensitivity and specificity. Results: A total of 1131 patients with COVID-19 admitted to the ICU were included. Patients mean age was 52 ± 15,8 y/o., with a prevalence of males 60% (n = 678). The risk of AKI was 33% (n = 376), 78% (n = 293) of which did not require dialysis. Overall mortality was 11% (n = 127), while for AKI patients, mortality rate was 21% (n = 80). Variables selected for the logistic regression model and inclusion in the final prognostic score were the following: age, diabetes, ACEis, ARBs, chronic kidney disease and hypertension. Conclusion: AKI development in COVID 19 patients is accurately predicted by common clinical variables, allowing early interventions to attenuate the impact of AKI in these patients.",2023,NA,"BMC Nephrology","10.1186/s12882-023-03095-4","#3896",NA,NA,NA,NA,1131,376,TRUE,52
"Risk factors associated with acute kidney injury in a cohort of hospitalized patients with COVID-19","Contreras-Villamizar, K.; Barbosa, O.; Muñoz, A.C.; Suárez, J.S.; González, C.A.; Vargas, D.C.; Rodríguez-Sánchez, M.P.; García-Padilla, P.; Valderrama-Rios, M.C.; Cortés, J.A.","Background: Patients with COVID-19 have a high incidence of acute kidney injury (AKI), which is associated with mortality. The objective of the study was to determine the factors associated with AKI in patients with COVID-19. Methodology: A retrospective cohort was established in two university hospitals in Bogotá, Colombia. Adults hospitalized for more than 48 h from March 6, 2020, to March 31, 2021, with confirmed COVID-19 were included. The main outcome was to determine the factors associated with AKI in patients with COVID-19 and the secondary outcome was estimate the incidence of AKI during the 28 days following hospital admission. Results: A total of 1584 patients were included: 60.4% were men, 738 (46.5%) developed AKI, 23.6% were classified as KDIGO 3, and 11.1% had renal replacement therapy. The risk factors for developing AKI during hospitalization were male sex (OR 2.28, 95% CI 1.73–2.99), age (OR 1.02, 95% CI 1.01–1.03), history of chronic kidney disease (CKD) (OR 3.61, 95% CI 2.03–6.42), High Blood Pressure (HBP) (OR 6.51, 95% CI 2.10–20.2), higher qSOFA score to the admission (OR 1.4, 95% CI 1.14–1.71), the use of vancomycin (OR 1.57, 95% CI 1.05–2.37), piperacillin/tazobactam (OR 1.67, 95% CI 1.2–2.31), and vasopressor support (CI 2.39, 95% CI 1.53–3.74). The gross hospital mortality for AKI was 45.5% versus 11.7% without AKI. Conclusions: This cohort showed that male sex, age, history of HBP and CKD, presentation with elevated qSOFA, in-hospital use of nephrotoxic drugs and the requirement for vasopressor support were the main risk factors for developing AKI in patients hospitalized for COVID-19.",2023,NA,"BMC Nephrology","10.1186/s12882-023-03172-8","#3901",NA,NA,NA,NA,1584,738,NA,NA
"Clinical Features and Outcomes of Acute Kidney Injury in Critically Ill COVID-19 Patients: A Retrospective Observational Study","Bouguezzi, N.; Ben Saida, I.; Toumi, R.; Meddeb, K.; Ennouri, E.; Bedhiafi, A.; Hamdi, D.; Boussarsar, M.","Background: An alarming number of COVID-19 patients, especially in severe cases, have developed acute kidney injury (AKI). Aim: The study aimed to assess the frequency, risk factors, and impact of AKI on mortality in critically ill COVID-19 patients. Methods: The study was a retrospective observational study conducted in the MICU. Univariate and multivariate analyses were performed to identify risk factors for AKI and clinical outcomes. Results: During the study period, 465 consecutive COVID-19 patients were admitted to the MICU. The patients’ characteristics were median age, 64 [54–71] years; median SAPSII, 31 [24–38]; and invasive mechanical ventilation (IMV), 244 (52.5%). The overall ICU mortality rate was 49%. Two hundred twenty-nine (49.2%) patients developed AKI. The factors independently associated with AKI were positive fluid balance (OR, 2.78; 95%CI [1.88–4.11]; p < 0.001), right heart failure (OR, 2.15; 95%CI [1.25–3.67]; p = 0.005), and IMV use (OR, 1.55; 95%CI [1.01–2.40]; p = 0.044). Among the AKI patients, multivariate analysis identified the following factors as independently associated with ICU mortality: age (OR, 1.05; 95%CI [1.02–1.09]; p = 0.012), IMV use (OR, 48.23; 95%CI [18.05–128.89]; p < 0.001), and septic shock (OR, 3.65; 95%CI [1.32–10.10]; p = 0.012). Conclusion: The present study revealed a high proportion of AKI among critically ill COVID-19 patients. This complication seems to be linked to a severe cardiopulmonary interaction and fluid balance management, thus accounting for a poor outcome.",2023,NA,"Journal of Clinical Medicine","10.3390/jcm12155127","#3981",NA,NA,NA,NA,465,229,NA,64
"Acute kidney injury in coronavirus infectious disease: a study of incidence, risk factors, and prognosis during the first wave of the disease in Brazil","Magalhães, L.E.; de Oliveira, P.G.S.; Favarin, A.J.; Yuasa, B.K.; Cardoso, P.A.; Zamoner, W.; Ponce, D.","Introduction: Acute kidney injury (AKI) is one of the main complications of COVID-19 caused by SARS-CoV-2. This study aimed to evaluate the incidence of AKI in Brazilian hospitalized patients diagnosed with COVID-19 and identify the risk factors associated with its onset and those associated with its prognosis. Methods: A prospective cohort study of hospitalized patients diagnosed with COVID-19 at a public and tertiary university hospital in São Paulo from March to December 2020. Results: There were 347 patients hospitalized with COVID-19, 52.4% were admitted to the intensive care unit (ICU) and 47.6% were admitted to the wards. The overall incidence of AKI was 46.4%, more frequent in the ICU (68.1% vs 22.4, p < 0.01) and the overall mortality was 36.1%. Acute kidney replacement therapy was indicated in 46.6% of patients with AKI. In the general population, the factors associated with AKI were older age (OR 1.03, CI 1–1.05, p < 0.05), mechanical ventilation (OR 1.23, CI 1.06–1.83, p < 0.05), presence of proteinuria (OR 1.46, CI 1.22–1.93, p < 0.05), and use of vasoactive drugs (OR 1.26, CI 1.07–1.92, p < 0.05). Mortality was higher in the elderly (OR 1.08, CI 1.04–1.11, p < 0.05), in those with AKI (OR 1.12, CI 1.02–2.05, p < 0.05), particularly KDIGO stage 3 AKI (OR 1.10, CI 1.22–2.05, p < 0.05) and in need of mechanical ventilation (OR 1.13, CI 1.03–1.60, p < 0.05). Conclusion: AKI was frequent in hospitalized patients with COVID-19 and the factors associated with its development were older age, mechanical ventilation, use of vasoactive drugs, and presence of proteinuria, being a risk factor for death.",2023,NA,"International Urology and Nephrology","10.1007/s11255-022-03454-4","#4035",NA,NA,NA,NA,347,161,NA,NA
"Sex differences and disparities in cardiovascular outcomes of COVID-19","Bugiardini, R.; Nava, S.; Caramori, G.; Yoon, J.; Badimon, L.; Bergami, M.; Cenko, E.; David, A.; Demiri, I.; Dorobantu, M.; Fronea, O.; Jankovic, R.; Kedev, S.; Ladjevic, N.; Lasica, R.; Loncar, G.; Mancuso, G.; Mendieta, G.; Miličić, D.; Mjehović, P.; Pašalić, M.; Petrović, M.; Poposka, L.; Scarpone, M.; Stefanovic, M.; van der Schaar, M.; Vasiljevic, Z.; Vavlukis, M.; Pittao, M.L.V.; Vukomanovic, V.; Zdravkovic, M.; Manfrini, O.","Aims Previous analyses on sex differences in case fatality rates at population-level data had limited adjustment for key patient clinical characteristics thought to be associated with coronavirus disease 2019 (COVID-19) outcomes. We aimed to estimate the risk of specific organ dysfunctions and mortality in women and men. Methods This retrospective cross-sectional study included 17 hospitals within 5 European countries participating in the International Survey and results of Acute Coronavirus Syndromes COVID-19 (NCT05188612). Participants were individuals hospitalized with positive severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) from March 2020 to February 2022. Risk-adjusted ratios (RRs) of in-hospital mortality, acute respiratory failure (ARF), acute heart failure (AHF), and acute kidney injury (AKI) were calculated for women vs. men. Estimates were evaluated by inverse probability weighting and logistic regression models. The overall care cohort included 4499 patients with COVID-19-associated hospitalizations. Of these, 1524 (33.9%) were admitted to intensive care unit (ICU), and 1117 (24.8%) died during hospitalization. Compared with men, women were less likely to be admitted to ICU [RR: 0.80; 95% confidence interval (CI): 0.71–0.91]. In general wards (GWs) and ICU cohorts, the adjusted women-to-men RRs for in-hospital mortality were of 1.13 (95% CI: 0.90–1.42) and 0.86 (95% CI: 0.70–1.05; pinteraction = 0.04). Development of AHF, AKI, and ARF was associated with increased mortality risk (odds ratios: 2.27, 95% CI: 1.73–2.98; 3.85, 95% CI: 3.21–4.63; and 3.95, 95% CI: 3.04–5.14, respectively). The adjusted RRs for AKI and ARF were comparable among women and men regardless of intensity of care. In contrast, female sex was associated with higher odds for AHF in GW, but not in ICU (RRs: 1.25; 95% CI: 0.94–1.67 vs. 0.83; 95% CI: 0.59–1.16, pinteraction = 0.04). Conclusions Women in GW were at increased risk of AHF and in-hospital mortality for COVID-19 compared with men. For patients receiving ICU care, fatal complications including AHF and mortality appeared to be independent of sex. Equitable access to COVID-19 ICU care is needed to minimize the unfavourable outcome of women presenting with COVID-19-related complications.",2023,NA,"Cardiovascular Research","10.1093/cvr/cvad011","#4071",NA,NA,NA,NA,4499,1117,NA,NA
"Mortality, Intensive Care Unit Admission, and Intubation among Hospitalized Patients with COVID-19: A One-Year Retrospective Study in Jordan","Al Oweidat, K.; Al-Amer, R.; Saleh, M.Y.; Albtoosh, A.S.; Toubasi, A.A.; Ribie, M.K.; Hasuneh, M.M.; Alfaqheri, D.L.; Alshurafa, A.H.; Ribie, M.; Ali, A.M.; Obeidat, N.","COVID-19 is a public health crisis that has caused numerous deaths, necessitated an increased number of hospital admissions, and led to extended inpatient stays. This study aimed to identify the factors associated with COVID-19 mortality, intensive care unit admission, intubation, and length of hospital stay among Jordanian patients. This was a one-year retrospective study of 745 COVID-19 patients admitted to Jordan University Hospital. Data regarding the patients’ demographics, clinical and co-morbid conditions, imaging, laboratory parameters, mortality, intensive care unit admission (ICU), and intubation were collected from their medical records using a coding manual. The data revealed that the overall rates of COVID-19-related mortality, ICU admission, and invasive intubation were 23.0%, 28.3%, and 10.8%, respectively. Chronic kidney disease (CKD), troponin, lactate dehydrogenase (LDH), and O2 saturation <90% were significantly associated with the mortality rate. The variables that were significantly associated with ICU admission were heart failure and the use of remdesivir. However, O2 saturation <90% and gastrointestinal (GI) symptoms were the only variables associated with invasive intubation. The findings of this study suggest that study-related health outcomes can be used to predict the severity of COVID-19, and they can inform future research aiming to identify specific populations who are at a higher risk of COVID-19 complications.",2023,NA,"Journal of Clinical Medicine","10.3390/jcm12072651","#4091",NA,NA,NA,NA,1,0,TRUE,60.5
"Frequency of Diabetes Mellitus and Newly Diagnosed Hyperglycemia and Their Impacts on Hospitalized COVID-19 Patients","Rashidi, H.; Amiri, F.; Abaforush, F.; Mehraban, Z.; Pouladzadeh, M.; Sedaghat, A.","Background: The coronavirus disease 2019 (COVID-19) pandemic and its associated morbidities are a great global concern. Diabetes mellitus (DM) is associated with adverse clinical outcomes and high mortality in patients with COVID-19. Objectives: This study examined the frequency of BM, newly diagnosed hyperglycemia, and their impacts on hospitalized patients with COVID-19. Methods: This retrospective study examined 810 medical records of PCR-confirmed COVID-19 patients admitted to Razi Hospital, Ahvaz, Iran. The clinical presentations, severity, and impacts of COVID-19 were compared between patients with and without DM. Disease severity was determined based on the NEWS2 scoring system. Results: This study included 810 medical records of COVID-19 patients, of whom 326 had pre-existing DM, and 484 were non-DM. The rates of diabetes and newly diagnosed hyperglycemia were 40.2% and 11.2%, respectively. The most common underlying diseases were hypertension (35.3%), ischemic heart disease (17.9%), and chronic kidney disease (11.9%), which were higher in people with diabetes than non-diabetics. The rate of acute kidney injury was higher in patients with diabetes than in non-diabetics (30.7% vs. 19.2%; P < 0.001) and in patients with severe COVID-19 than in those whose disease was not severe (27.8% vs. 21.5%; P = 0.04). The rates of severe COVID-19 (46.3% vs. 34.7%; P = 0.093), ICU admission (40.7% vs. 27.4%; P = 0.012), and mortality (18.5% vs. 10.5%; P = 0.079) were higher in patients with newly diagnosed hyperglycemia than in euglycemic patients. Conclusions: This study showed that COVID-19 infection is linked with newly diagnosed hyperglycemia and pre-existing DM, both associated with severe COVID-19, more need for ICU admission, and mortality.",2023,NA,"Shiraz E Medical Journal","10.5812/semj-130154","#4104",NA,NA,NA,NA,1,0,NA,60.5
"""Acute kidney injury in critically ill patients with COVID-19: The AKICOV multicenter study in Catalonia""","De La Vega Sánchez, A.; Pérez, A.N.; Pérez-Carrasco, M.; Sonet, M.T.; Buendia, Y.D.; Ballujera, P.O.; López, M.R.; Riera, J.S.; Olmo-Isasmendi, A.; Torra, E.V.; García-Pumarino, M.A.; Villamayor, M.I.; Ibars, R.M.C.; Zelaya, I.O.; Chica, J.P.; Anglès, C.R.; Tomasa-Irriguible, T.M.; Serra, A.B.; Casanova, E.J.; González De Molina, F.J.","This study describes the incidence, evolution and prognosis of acute kidney injury (AKI) in critical COVID-19 during the first pandemic wave. We performed a prospective, observational, multicenter study of confirmed COVID-19 patients admitted to 19 intensive care units (ICUs) in Catalonia (Spain). Data regarding demographics, comorbidities, drug and medical treatment, physiological and laboratory results, AKI development, need for renal replacement therapy (RRT) and clinical outcomes were collected. Descriptive statistics and logistic regression analysis for AKI development and mortality were used. A total of 1,642 patients were enrolled (mean age 63 (15.95) years, 67.5% male). Mechanical ventilation (MV) was required for 80.8% and 64.4% of these patients, who were in prone position, while 67.7% received vasopressors. AKI at ICU admission was 28.4% and increased to 40.1% during ICU stay. A total of 172 (10.9%) patients required RRT, which represents 27.8% of the patients who developed AKI. AKI was more frequent in severe acute respiratory distress syndrome (ARDS) ARDS patients (68% vs 53.6%, p<0.001) and in MV patients (91.9% vs 77.7%, p<0.001), who required the prone position more frequently (74.8 vs 61%, p<0.001) and developed more infections. ICU and hospital mortality were increased in AKI patients (48.2% vs 17.7% and 51.1% vs 19%, p <0.001) respectively). AKI was an independent factor associated with mortality (IC 1.587-3.190). Mortality was higher in AKI patients who required RRT (55.8% vs 48.2%, p <0.04). Conclusions There is a high incidence of AKI in critically ill patients with COVID-19 disease and it is associated with higher mortality, increased organ failure, nosocomial infections and prolonged ICU stay.",2023,NA,"PLoS ONE","10.1371/journal.pone.0284248","#4105",NA,NA,NA,NA,1,2,TRUE,63
"Outcomes of COVID 19 patients with acute kidney injury in Thi Qar province, south of Iraq","Al-Omer, D.K.","Background: Acute kidney injury (AKI) has been associated with an increased mortality rate among hospitalized patients with Coronavirus disease 2019 (COVID-19). However, AKI among hospitalized patients with COVID-19 is not well described. Methods: In this retrospective cohort study, we enrolled adult patients who were referred to Al-Hussein Teaching Hospital in Thi-Qar Governorate, Iraq, from 15 February to 15 May 2020, diagnosed with Corona Varus by Real-Time polymerase chain reaction (PCR) A test with a diagnosis of COVID.-19. AKI was determined according to the outcome criteria for creatinine determination and Introduced by the KDIGO in 2012. Patients were stratified based on recovery, dialysis, and hospital mortality. We also assessed risk indicators associated with AKI during hospitalization along with in-hospital outcomes, recovery rate, and death at the time of discharge. And after three months of going out for both sexes. Results: We evaluated 2044 patients, whose ages ranged from 18 to more than 65 years, for both males and females, and the percentage of males 54.7% and females 45.3% were admitted with a diagnosis of COVID-19. AKI occurred in 194(8.02%) patients; 55(35.5%) of the patients with AKI required dialysis. It was observed that 43.1% of males recovered to 43.8% of the females who were cured inside the hospital, and there was a percentage of patients Those who needed dialysis, and there was a percentage of deaths among males and females. Patients with AKI showed a significantly higher mortality rate. The patients’ condition was followed up after their discharge from the hospital, and the percentage of those who were cured and the patients who needed dialysis was determined, and the rate and mortality. conclusion: We found that male sex, patients' ages, history of chronic kidney disease, and disease severity were independent risk factors associated with AKI in COVID-19 patients. Whereas, acute renal insufficiency was associated with an increased risk of death, increased dialysis patients, and inhospital complications. Our results indicate the need for more careful care and monitoring of AKI during hospitalization in patients with COVID-19, and non-recovery of acute renal impairment on hospital discharge is a common complication in these patients.",2023,NA,"Journal of Population Therapeutics and Clinical Pharmacology","10.47750/jptcp.2023.13.03.008","#4110",NA,NA,NA,NA,2044,194,NA,NA
"Kinetics of the Cell Cycle Arrest Biomarkers (TIMP2 and IGFBP7) for the Diagnosis of Acute Kidney Injury in Critically Ill COVID-19 Patients","Greco, M.; De Rosa, S.; Boehm, F.; Spano, S.; Aceto, R.; Voza, A.; Reggiani, F.; Calatroni, M.; Castellani, G.; Costantini, E.; Villa, G.; Cecconi, M.","Background: Acute kidney injury (AKI) is highly prevalent in critical COVID-19 patients. The diagnosis and staging of AKI are based on serum creatinine (sCr) and urinary output criteria, with limitations in the functional markers. New cell-cycle arrest biomarkers [TIMP2]*[IGFBP7] have been proposed for early detection of AKI, but their role in critically ill COVID-19 patients is poorly understood. Methods: We conducted an observational study to assess the performance of [TIMP2]*[IGFBP7] for the detection of AKI in critical COVID-19 patients admitted to our intensive care unit (ICU). We sampled urinary [TIMP2]*[IGFBP7] levels at ICU admission, 12 h, 24 h, and 48 h, and compared the results to the development of AKI, as well as baseline and laboratory data. Results: Forty-one patients were enrolled. The median age was 66 years [57–72] and most were males (85%). Thirteen patients (31.7%) developed no/mild stage AKI, 19 patients (46.3%) moderate AKI, and nine patients (22.0%) severe AKI. The ICU mortality was 29.3%. sCr levels in the Emergency Department or at ICU admission were not significantly different according to AKI stage. [TIMP-2]*[IGFBP-7] urinary levels were elevated in severe AKI at 12 h after ICU admission, but not at ICU admission or 24 h or 48 h after ICU admission. Conclusion: Urinary biomarkers [TIMP-2]*[IGFBP-7] were generally increased in this population with a high prevalence of AKI, and were higher in patients with severe AKI measured at 12 h from ICU admission. Further studies are needed to evaluate the best timing of these biomarkers in this population.",2023,NA,"Diagnostics","10.3390/diagnostics13020317","#4206",NA,NA,NA,NA,41,13,TRUE,66
"Statin therapy may protect against acute kidney injury in patients hospitalized for interstitial SARS-CoV2 pneumonia","Piani, F.; Di Salvo, E.; Landolfo, M.; Saracino, I.M.; Agnoletti, D.; Borghi, C.; Fiorini, G.","Background and aims: COVID-19-associated acute kidney injury (AKI) represents an independent risk factor for all-cause in-hospital death in patients with COVID-19. Chronic statin therapy use is highly prevalent in individuals at risk for severe COVID-19. Our aim is to assess whether patients under treatment with statins have a lower risk of AKI and in-hospital mortality during hospitalization for interstitial SARS-CoV2 pneumonia. Methods and results: Our study is a prospective observational study on 269 consecutive patients admitted for COVID-19 pneumonia at the Internal Medicine Unit of IRCCS Sant'Orsola Hospital in Bologna, Italy. We compared the clinical characteristics between patients receiving statin therapy (n = 65) and patients not treated with statins and we assessed if chronic statin use was associated with a reduced risk for AKI, all-cause mortality, admission to ICU, and disease severity. Statin use was associated with a significant reduction in the risk of developing AKI (OR 0.47, IC 0.23 to 0.95, p 0.036) after adjustment for age, sex, BMI, hypertension, diabetes, and chronic kidney disease (CKD). Additionally, statin use was associated with reduced C-reactive protein (CRP) levels (p 0.048) at hospital admission. No significant impact in risk of all-cause mortality (HR 1.98, IC 0.71 to 5.50, p 0.191) and ICU admission (HR 0.93, IC 0.52 to 1.65, p 0.801) was observed with statin use, after adjustment for age, sex, BMI, hypertension, diabetes, and CKD. Conclusion: The present study shows a potential beneficial effect of statins in COVID-19-associated AKI. Furthermore, patients treated with statins before hospital admission for COVID-19 may have lower systemic inflammation levels.",2023,NA,"Nutrition, Metabolism and Cardiovascular Diseases","10.1016/j.numecd.2022.10.005","#4208",NA,NA,NA,NA,269,65,NA,NA
"Factors Associated with Severity of Acute Kidney Injury and Adverse Outcomes in Critically Ill Patients with COVID-19","El Mouhayyar, C.; Dewald, J.; Cabrales, J.; Tighiouart, H.; Moraco, A.H.; Jaber, B.L.; Balakrishnan, V.S.","Background: Acute kidney injury (AKI) is a well-recognized complication of coronavirus disease 2019 (COVID-19). The short and long-term outcomes of patients who develop AKI have not been well characterized. Methods: In this multicenter retrospective cohort study, we describe the clinical characteristics and outcomes of critically ill adults with severe COVID-19 and AKI. Patient-level variables were extracted from the electronic medical record. Using nadir-to-peak serum creatinine, AKI was defined using the KDIGO definition. Multivariable logistic regression analyses examined factors associated with development of moderate-to-severe (stage 2-3) AKI, severe (stage-3) AKI, and the composite of renal replacement therapy (RRT) or in-hospital death. Results: Among 459 critically ill adults with COVID-19, 371 (80.1%) developed AKI, with 179 (37.9%) developing stage-3 AKI. Male gender, black and Asian/Native American race, lower baseline estimated glomerular filtration rate (eGFR), higher body mass index (BMI), and higher Acute Physiology and Chronic Health Evaluation (APACHE) IV score were more prevalent among patients with severe AKI, as were systemic markers of inflammation. On multivariable analysis, male gender, black and Asian/Native American race, higher APACHE IV score, lower baseline eGFR, and higher BMI (mainly the highest BMI stratum ≥35 kg/m2) were independently associated with higher stages of AKI severity. Male gender, lower baseline eGFR, and higher APACHE IV score were also independently associated with the composite of RRT or in-hospital death. Moderate-to-severe AKI and severe AKI were independently associated with in-hospital death, and there was a significant interaction between BMI and moderate-to-severe AKI for the outcome of in-hospital death. Among 83 (18.1%) patients who required RRT, 27 (32.5%) survived, and 12 (44.4%) remained dialysis-dependent at discharge. At 3 and 6 months, 5 (41.7%) and 4 (33.3%) remained dialysis-dependent, respectively. Conclusions: AKI is common in critically ill adults with COVID-19. Several patient-level risk factors are associated with higher stages of AKI severity. BMI might be an effect modifier of AKI severity for in-hospital death. Among AKI survivors, there is a high rate of short- and long-term dialysis dependence.",2022,NA,"Nephron","10.1159/000524657","#4321",NA,NA,NA,NA,459,371,TRUE,NA
